Date,Open,High,Low,Close,Volume
2006-06-01,471.6,474.0,442.0,444.42,21900.0
2006-06-12,454.0,464.0,440.0,446.17,8400.0
2006-06-22,451.16,464.2,447.6,460.26,19400.0
2006-07-03,495.1,509.68,493.0,498.97,9100.0
2006-07-13,518.0,526.4,517.0,521.66,6800.0
2006-07-24,464.0,469.58,449.2,466.52,51700.0
2006-08-01,483.2,491.0,475.8,480.92,24600.0
2006-08-11,541.0,555.0,541.0,552.09,32200.0
2006-08-21,566.01,574.0,562.02,567.33,13600.0
2006-09-11,573.6,573.6,560.0,564.85,17100.0
2006-09-21,579.0,579.6,574.67,578.39,5900.0
2006-10-13,606.0,622.0,601.4,617.79,24800.0
2006-11-01,718.0,729.0,716.0,717.56,23500.0
2006-11-10,700.04,704.2,690.0,692.55,46100.0
2006-11-21,676.92,685.0,676.0,679.01,11500.0
2006-12-01,704.0,752.0,701.01,738.24,33300.0
2006-12-21,712.0,712.98,696.0,703.65,27800.0
2007-01-02,747.0,755.2,740.0,742.81,21700.0
2007-01-12,719.4,730.0,713.0,723.85,28600.0
2007-01-22,722.0,726.8,715.6,717.3,6200.0
2007-02-12,770.0,770.0,734.1,739.02,34300.0
2007-02-21,768.0,779.6,760.42,769.61,43300.0
2007-03-01,724.0,731.0,705.0,721.62,28500.0
2007-03-12,700.0,728.0,692.6,718.53,30200.0
2007-03-22,705.2,723.01,704.2,718.04,64900.0
2007-04-02,705.0,705.0,676.2,679.72,14800.0
2007-05-03,822.0,828.8,816.0,819.76,11100.0
2007-05-14,846.2,859.8,842.0,856.57,34300.0
2007-05-23,872.4,879.0,866.0,874.93,8700.0
2007-06-01,922.0,949.0,921.0,939.38,37900.0
2007-06-11,911.4,917.8,901.0,903.26,14100.0
2007-06-21,927.0,950.0,927.0,943.84,38300.0
2007-09-13,1229.0,1232.0,1213.1,1218.6,36700.0
2007-09-24,1318.0,1324.0,1296.25,1307.4,93000.0
2007-10-01,1310.0,1324.0,1291.15,1302.85,56900.0
2007-10-11,1424.0,1435.0,1395.1,1425.45,71700.0
2007-12-13,1620.0,1649.9,1600.05,1607.85,23600.0
2008-01-01,1528.0,1528.0,1501.0,1510.95,19800.0
2008-01-11,1499.0,1505.0,1445.0,1457.2,79100.0
2008-01-21,1386.0,1386.0,1241.55,1276.55,56100.0
2008-02-12,1265.0,1298.0,1255.0,1264.75,26800.0
2008-02-22,1200.0,1201.0,1175.0,1190.5,49100.0
2008-03-24,1125.0,1139.9,1071.0,1104.25,47100.0
2008-04-01,1188.0,1208.0,1161.8,1195.15,18000.0
2008-04-11,1105.0,1135.0,1095.0,1117.6,29400.0
2008-05-02,1120.0,1159.0,1115.0,1126.55,90100.0
2008-05-12,1055.0,1086.0,1032.8,1072.5,32800.0
2008-06-23,918.0,921.0,878.05,890.95,30200.0
2008-07-01,813.5,813.5,755.0,769.7,77900.0
2008-08-11,874.5,896.9,845.0,876.15,74800.0
